c,h,l,n,o,t,v,vw
264.11,265.12,264.0,114,264.38,2024-04-01T08:00:00Z,5443,264.815574
261.8,263.01,261.03,215,263.01,2024-04-01T08:05:00Z,6245,262.227732
262.02,262.02,261.8,26,261.8,2024-04-01T08:10:00Z,1060,261.900628
262.3,262.4,262.0,69,262.0,2024-04-01T08:15:00Z,2405,262.285852
261.61,262.55,261.56,115,262.55,2024-04-01T08:20:00Z,2897,261.906519
262.43,262.43,261.82,56,261.89,2024-04-01T08:25:00Z,1560,262.060213
262.43,262.43,262.34,43,262.34,2024-04-01T08:35:00Z,2418,262.393064
262.51,262.51,262.51,19,262.51,2024-04-01T08:45:00Z,448,262.51
262.5,262.5,262.5,8,262.5,2024-04-01T08:50:00Z,334,262.5
262.99,262.99,262.3,46,262.3,2024-04-01T09:10:00Z,1581,262.70911
262.3,262.37,262.3,54,262.37,2024-04-01T09:20:00Z,2810,262.347222
262.3,262.3,262.3,8,262.3,2024-04-01T09:25:00Z,445,262.3
262.55,262.55,262.5,20,262.5,2024-04-01T09:30:00Z,974,262.539899
262.25,262.3,262.25,53,262.3,2024-04-01T09:40:00Z,9835,262.298863
262.1,262.15,262.1,31,262.15,2024-04-01T09:45:00Z,840,262.127248
262.68,262.68,261.98,81,261.98,2024-04-01T09:55:00Z,10889,262.487456
262.8,262.8,262.5,21,262.5,2024-04-01T10:00:00Z,1057,262.591182
262.8,263.0,262.8,28,263.0,2024-04-01T10:20:00Z,4811,262.994559
262.75,262.75,262.75,5,262.75,2024-04-01T10:35:00Z,152,262.75
263.15,263.15,263.15,10,263.15,2024-04-01T10:45:00Z,522,263.15
262.73,263.02,262.73,61,263.02,2024-04-01T10:55:00Z,2394,262.965729
263.5,263.62,263.0,113,263.0,2024-04-01T11:00:00Z,4614,263.421012
262.66,263.3,262.5,217,263.23,2024-04-01T11:05:00Z,11616,262.608421
263.33,263.55,263.33,31,263.33,2024-04-01T11:10:00Z,1695,263.471181
263.25,263.25,263.25,3,263.25,2024-04-01T11:15:00Z,406,263.25
262.05,263.05,261.85,154,263.05,2024-04-01T11:20:00Z,8360,262.089324
262.0,262.0,262.0,11,262.0,2024-04-01T11:25:00Z,305,262.0
262.11,262.11,262.11,13,262.11,2024-04-01T11:30:00Z,432,262.11
261.7,262.0,261.7,38,262.0,2024-04-01T11:35:00Z,1612,261.91358
261.8,261.8,261.5,88,261.62,2024-04-01T11:40:00Z,3304,261.633499
261.8,261.8,261.53,35,261.53,2024-04-01T11:45:00Z,1167,261.69359
261.63,261.75,261.5,35,261.66,2024-04-01T11:55:00Z,2669,261.62799
262.99,269.44,260.9,756,263.4839,2024-04-01T12:00:00Z,24618,263.181871
260.84,269.44,260.55,510,264.0,2024-04-01T12:05:00Z,17371,261.9621
261.4,261.69,260.5503,232,260.99,2024-04-01T12:10:00Z,15846,261.290839
262.24,262.24,261.33,144,261.4,2024-04-01T12:15:00Z,10968,261.701905
261.9,261.9,261.9,14,261.9,2024-04-01T12:20:00Z,402,261.9
262.15,262.15,261.2102,79,261.7,2024-04-01T12:25:00Z,5257,261.784426
261.7,262.2997,261.5,232,262.1,2024-04-01T12:30:00Z,9460,261.965529
261.66,261.794,261.66,26,261.794,2024-04-01T12:35:00Z,836,261.690734
262.45,262.45,261.8,137,261.8,2024-04-01T12:40:00Z,6153,262.096129
262.6,262.6,262.0,188,262.47,2024-04-01T12:45:00Z,10084,262.388417
262.2997,262.66,262.2,198,262.5,2024-04-01T12:50:00Z,9452,262.433506
262.75,262.8245,262.2,85,262.2,2024-04-01T12:55:00Z,5924,262.42692
