c,h,l,n,o,t,v,vw
20.45,20.5,20.03,83,20.03,2024-04-01T08:00:00Z,8190,20.389525
20.39,20.47,20.39,19,20.4,2024-04-01T08:05:00Z,1310,20.443925
20.39,20.4,20.38,13,20.4,2024-04-01T08:10:00Z,1407,20.390704
20.39,20.41,20.39,11,20.41,2024-04-01T08:15:00Z,8334,20.390248
20.3,20.33,20.3,10,20.33,2024-04-01T08:20:00Z,1062,20.31773
20.29,20.32,20.29,11,20.32,2024-04-01T08:25:00Z,2378,20.305665
20.29,20.29,20.29,10,20.29,2024-04-01T08:30:00Z,1623,20.29
20.28,20.28,20.28,7,20.28,2024-04-01T09:00:00Z,426,20.28
20.3,20.3,20.3,18,20.3,2024-04-01T09:10:00Z,2178,20.3
20.28,20.3,20.28,8,20.3,2024-04-01T09:20:00Z,958,20.290507
20.26,20.26,20.25,3,20.26,2024-04-01T09:25:00Z,600,20.256667
20.26,20.27,20.25,42,20.27,2024-04-01T09:30:00Z,14173,20.264024
20.23,20.25,20.23,5,20.25,2024-04-01T09:35:00Z,1250,20.246637
20.25,20.25,20.25,3,20.25,2024-04-01T09:40:00Z,300,20.25
20.25,20.25,20.25,8,20.25,2024-04-01T09:55:00Z,1801,20.25
20.25,20.25,20.25,22,20.25,2024-04-01T10:00:00Z,1654,20.25
20.25,20.26,20.25,12,20.26,2024-04-01T10:10:00Z,4409,20.257954
20.24,20.24,20.22,17,20.22,2024-04-01T10:15:00Z,3117,20.231691
20.27,20.27,20.27,3,20.27,2024-04-01T10:20:00Z,300,20.27
20.24,20.24,20.24,4,20.24,2024-04-01T10:25:00Z,200,20.24
20.2,20.24,20.2,30,20.24,2024-04-01T10:30:00Z,5200,20.218237
20.12,20.25,20.11,54,20.16,2024-04-01T10:35:00Z,5801,20.150962
20.19,20.19,20.12,9,20.12,2024-04-01T10:40:00Z,711,20.139183
20.19,20.2,20.18,14,20.18,2024-04-01T10:45:00Z,2852,20.19
20.19,20.19,20.19,3,20.19,2024-04-01T10:50:00Z,990,20.19
20.19,20.2,20.18,8,20.2,2024-04-01T10:55:00Z,1431,20.196653
20.16,20.2,20.16,27,20.19,2024-04-01T11:00:00Z,1786,20.184205
20.16,20.18,20.16,7,20.17,2024-04-01T11:30:00Z,570,20.17359
20.11,20.11,20.11,4,20.11,2024-04-01T11:35:00Z,560,20.11
20.12,20.17,20.12,11,20.17,2024-04-01T11:45:00Z,2386,20.123509
20.12,20.18,20.12,9,20.17,2024-04-01T11:50:00Z,750,20.157944
