c,h,l,n,o,t,v,vw
1662.02,1662.02,1662.02,67,1662.02,2024-04-01T08:05:00Z,527,1662.02
1650.1,1650.1,1650.1,13,1650.1,2024-04-01T08:25:00Z,177,1650.1
1655.0,1655.0,1655.0,28,1655.0,2024-04-01T08:30:00Z,516,1655.0
1651.0,1651.0,1651.0,19,1651.0,2024-04-01T08:35:00Z,430,1651.0
1628.0,1630.0,1628.0,41,1630.0,2024-04-01T09:10:00Z,730,1628.568182
1601.26,1601.26,1601.26,211,1601.26,2024-04-01T09:15:00Z,1294,1601.26
1605.0,1605.0,1605.0,27,1605.0,2024-04-01T09:20:00Z,402,1605.0
1600.0,1600.0,1600.0,43,1600.0,2024-04-01T09:35:00Z,297,1600.0
1578.5,1600.0,1578.5,462,1600.0,2024-04-01T09:40:00Z,3374,1588.524871
1585.21,1585.21,1585.21,27,1585.21,2024-04-01T09:45:00Z,260,1585.21
1598.88,1598.88,1598.87,104,1598.87,2024-04-01T09:50:00Z,766,1598.875
1598.95,1598.95,1598.95,19,1598.95,2024-04-01T10:05:00Z,301,1598.95
1604.21,1604.21,1604.21,23,1604.21,2024-04-01T10:15:00Z,254,1604.21
1609.0,1614.0,1609.0,318,1609.46,2024-04-01T11:00:00Z,3755,1612.717678
1611.0,1611.0,1611.0,39,1611.0,2024-04-01T11:10:00Z,467,1611.0
1615.0,1615.0,1615.0,25,1615.0,2024-04-01T11:15:00Z,496,1615.0
1614.0,1614.0,1614.0,77,1614.0,2024-04-01T11:20:00Z,834,1614.0
1612.0,1612.0,1612.0,46,1612.0,2024-04-01T11:25:00Z,713,1612.0
1613.0,1613.0,1613.0,27,1613.0,2024-04-01T11:30:00Z,388,1613.0
1606.0,1607.22,1605.0,90,1607.22,2024-04-01T11:35:00Z,1472,1606.36
1601.11,1605.0,1601.11,128,1605.0,2024-04-01T11:40:00Z,1795,1601.780602
1606.88,1606.88,1606.88,38,1606.88,2024-04-01T11:55:00Z,579,1606.88
1601.4099,1620.0,1600.05,568,1605.8187,2024-04-01T12:00:00Z,9773,1606.058384
1609.0,1609.7883,1605.0,245,1605.0,2024-04-01T12:05:00Z,2117,1608.865865
1608.3656,1620.065,1608.3656,59,1609.9999,2024-04-01T12:15:00Z,3058,1611.352909
1618.0,1618.0,1618.0,38,1618.0,2024-04-01T12:20:00Z,478,1618.0
1620.0,1620.0,1620.0,42,1620.0,2024-04-01T12:25:00Z,231,1620.0
1618.6,1625.0,1618.6,235,1621.99,2024-04-01T12:30:00Z,3652,1622.164499
1618.6,1618.6,1618.6,58,1618.6,2024-04-01T12:35:00Z,512,1618.6
1630.0,1634.0,1622.9,206,1622.9,2024-04-01T12:40:00Z,3360,1629.296543
1640.0,1646.7212,1622.06,252,1632.0,2024-04-01T12:45:00Z,3032,1635.846123
1640.0,1640.0,1640.0,69,1640.0,2024-04-01T12:50:00Z,654,1640.0
1640.0,1649.0,1640.0,128,1649.0,2024-04-01T12:55:00Z,1876,1641.690129
1642.98,1642.98,1640.0,94,1640.0,2024-04-01T13:00:00Z,1141,1641.70103
1648.0,1648.0,1648.0,47,1648.0,2024-04-01T13:05:00Z,573,1648.0
1645.0,1650.0,1645.0,245,1650.0,2024-04-01T13:10:00Z,2601,1648.306441
1635.0,1635.0,1635.0,84,1635.0,2024-04-01T13:15:00Z,1047,1635.0
1626.0,1630.1018,1626.0,70,1630.1018,2024-04-01T13:20:00Z,659,1628.0509
1649.01,1666.98,1631.0,634,1631.0,2024-04-01T13:25:00Z,13198,1644.256867
1601.5,1663.72,1590.5601,8838,1645.01,2024-04-01T13:30:00Z,168599,1624.233739
1629.84,1640.0,1601.0101,4337,1610.23,2024-04-01T13:35:00Z,71564,1624.693937
1640.22,1663.39,1635.36,3215,1635.36,2024-04-01T13:40:00Z,48168,1649.416191
1687.19,1688.73,1646.36,2888,1649.05,2024-04-01T13:45:00Z,54002,1671.315699
1661.56,1690.19,1650.0,2561,1686.525,2024-04-01T13:50:00Z,37555,1672.870055
1677.815,1686.96,1655.335,2081,1658.13,2024-04-01T13:55:00Z,35516,1675.125773
1646.94,1675.25,1643.23,2015,1671.19,2024-04-01T14:00:00Z,33543,1657.728946
1669.03,1669.17,1645.02,1469,1649.0,2024-04-01T14:05:00Z,25639,1659.754799
1655.24,1677.46,1655.24,1254,1669.23,2024-04-01T14:10:00Z,19028,1669.291371
1641.0,1662.07,1638.8,1457,1656.5,2024-04-01T14:15:00Z,22429,1652.85686
1647.92,1651.79,1630.3831,1615,1637.0,2024-04-01T14:20:00Z,27556,1639.006247
1635.9,1647.1369,1630.49,1322,1645.01,2024-04-01T14:25:00Z,21625,1638.877113
1630.25,1640.585,1626.0,1667,1635.0,2024-04-01T14:30:00Z,28846,1632.137512
1621.66,1634.62,1616.28,1590,1634.62,2024-04-01T14:35:00Z,25507,1624.05409
1622.75,1633.77,1618.0,1242,1619.2701,2024-04-01T14:40:00Z,18501,1626.418288
1624.95,1629.9999,1615.0,1572,1618.0,2024-04-01T14:45:00Z,20809,1619.935151
1618.1598,1625.0,1608.3246,1653,1624.99,2024-04-01T14:50:00Z,37771,1618.059972
1631.74,1634.24,1615.0,1453,1617.48,2024-04-01T14:55:00Z,24080,1625.40047
1633.62,1639.25,1626.25,1355,1629.74,2024-04-01T15:00:00Z,23628,1632.777366
