c,h,l,n,o,t,v,vw
446.9,447.31,446.0,171,447.31,2024-04-01T08:00:00Z,15097,446.862115
446.52,446.88,446.52,84,446.78,2024-04-01T08:05:00Z,8965,446.603627
446.43,446.43,446.29,32,446.42,2024-04-01T08:10:00Z,3961,446.394975
446.5,446.5,446.39,10,446.39,2024-04-01T08:15:00Z,775,446.482677
446.68,446.68,446.6,38,446.63,2024-04-01T08:20:00Z,14211,446.638327
446.69,446.71,446.64,23,446.68,2024-04-01T08:25:00Z,2349,446.687751
446.81,446.81,446.66,37,446.66,2024-04-01T08:30:00Z,9201,446.727802
446.84,446.85,446.76,18,446.79,2024-04-01T08:35:00Z,2048,446.813513
446.73,446.81,446.73,57,446.81,2024-04-01T08:40:00Z,23779,446.74847
446.69,446.78,446.69,16,446.78,2024-04-01T08:45:00Z,1677,446.715733
446.72,446.78,446.71,19,446.78,2024-04-01T08:50:00Z,3759,446.733928
446.79,446.82,446.75,37,446.77,2024-04-01T08:55:00Z,10607,446.793126
446.77,446.8,446.76,12,446.76,2024-04-01T09:00:00Z,788,446.779509
446.68,446.68,446.68,9,446.68,2024-04-01T09:05:00Z,224,446.68
446.7,446.73,446.66,27,446.67,2024-04-01T09:10:00Z,4424,446.695007
446.65,446.65,446.57,24,446.57,2024-04-01T09:15:00Z,2665,446.629354
446.51,446.6,446.5,53,446.56,2024-04-01T09:20:00Z,9911,446.552371
446.5,446.5,446.45,12,446.48,2024-04-01T09:25:00Z,5801,446.488609
446.49,446.53,446.43,27,446.53,2024-04-01T09:30:00Z,6528,446.462344
446.46,446.46,446.46,6,446.46,2024-04-01T09:35:00Z,328,446.46
446.58,446.58,446.45,20,446.45,2024-04-01T09:40:00Z,5094,446.547094
446.54,446.54,446.54,4,446.54,2024-04-01T09:45:00Z,148,446.54
446.63,446.65,446.51,21,446.51,2024-04-01T09:50:00Z,1018,446.589262
446.66,446.7,446.63,19,446.63,2024-04-01T09:55:00Z,935,446.663067
446.7,446.7,446.67,16,446.67,2024-04-01T10:00:00Z,2928,446.678146
446.67,446.68,446.67,10,446.68,2024-04-01T10:05:00Z,569,446.674
446.62,446.63,446.6,17,446.63,2024-04-01T10:10:00Z,2766,446.619083
446.82,446.82,446.73,24,446.77,2024-04-01T10:15:00Z,5590,446.795277
446.86,446.86,446.86,4,446.86,2024-04-01T10:20:00Z,222,446.86
446.77,446.77,446.77,15,446.77,2024-04-01T10:25:00Z,179,446.77
446.91,446.93,446.88,20,446.88,2024-04-01T10:30:00Z,1722,446.915266
446.86,446.86,446.86,4,446.86,2024-04-01T10:35:00Z,208,446.86
446.8,446.8,446.75,7,446.75,2024-04-01T10:40:00Z,287,446.775
446.75,446.8,446.75,36,446.8,2024-04-01T10:45:00Z,4897,446.777889
446.8,446.8,446.72,8,446.72,2024-04-01T10:50:00Z,1348,446.794025
446.77,446.8,446.77,6,446.8,2024-04-01T10:55:00Z,2500,446.771202
446.39,446.88,446.39,249,446.88,2024-04-01T11:00:00Z,28961,446.524405
446.36,446.43,446.31,95,446.4,2024-04-01T11:05:00Z,11946,446.369311
446.28,446.43,446.25,71,446.42,2024-04-01T11:10:00Z,7408,446.323208
446.04,446.36,446.04,68,446.3,2024-04-01T11:15:00Z,3882,446.229867
445.89,446.02,445.89,125,446.01,2024-04-01T11:20:00Z,8337,445.965653
445.84,445.91,445.71,116,445.85,2024-04-01T11:25:00Z,11187,445.811952
445.76,445.8,445.64,68,445.8,2024-04-01T11:30:00Z,9494,445.688987
445.96,445.99,445.76,55,445.76,2024-04-01T11:35:00Z,6441,445.920849
445.97,446.04,445.92,58,446.0,2024-04-01T11:40:00Z,3381,445.956735
445.89,446.0,445.89,39,445.9,2024-04-01T11:45:00Z,3944,445.909634
445.9,445.97,445.9,47,445.96,2024-04-01T11:50:00Z,7858,445.905117
445.95,445.97,445.92,26,445.95,2024-04-01T11:55:00Z,1637,445.942022
445.85,447.3,445.63,802,446.75,2024-04-01T12:00:00Z,35425,446.140471
445.28,447.08,445.1,507,445.85,2024-04-01T12:05:00Z,40577,445.469511
445.21,445.36,445.05,159,445.34,2024-04-01T12:10:00Z,12128,445.183536
445.23,445.2691,445.05,182,445.15,2024-04-01T12:15:00Z,22442,445.16471
445.06,445.21,444.9,346,445.21,2024-04-01T12:20:00Z,43166,444.980954
445.18,445.24,445.03,124,445.03,2024-04-01T12:25:00Z,14015,445.17694
444.951,445.16,444.83,222,445.136,2024-04-01T12:30:00Z,20214,444.98356
445.17,445.22,445.02,209,445.02,2024-04-01T12:35:00Z,36115,445.111267
445.31,445.38,445.15,180,445.2,2024-04-01T12:40:00Z,25298,445.297782
445.4,445.45,445.34,155,445.35,2024-04-01T12:45:00Z,10944,445.380216
445.38,445.47,445.3,132,445.42,2024-04-01T12:50:00Z,5584,445.381115
445.34,445.36,445.18,151,445.36,2024-04-01T12:55:00Z,11840,445.283346
445.0,445.25,445.0,189,445.25,2024-04-01T13:00:00Z,16732,445.085504
445.17,445.17,445.03,101,445.03,2024-04-01T13:05:00Z,4652,445.115792
444.85,445.09,444.85,188,445.09,2024-04-01T13:10:00Z,11262,444.963319
444.61,444.89,444.45,357,444.89,2024-04-01T13:15:00Z,39943,444.629593
444.83,444.85,444.51,155,444.64,2024-04-01T13:20:00Z,9750,444.627516
444.92,445.01,444.68,287,444.81,2024-04-01T13:25:00Z,30985,444.816151
446.16,446.19,444.55,17363,444.97,2024-04-01T13:30:00Z,1259284,445.178742
447.24,447.27,446.15,13025,446.16,2024-04-01T13:35:00Z,1103158,446.847464
447.08,447.48,446.99,10183,447.25,2024-04-01T13:40:00Z,1041601,447.214477
447.06,447.53,446.77,10072,447.09,2024-04-01T13:45:00Z,965257,447.211911
447.22,447.3,446.93,6490,447.075,2024-04-01T13:50:00Z,630660,447.127672
447.04,447.446,446.93,5522,447.24,2024-04-01T13:55:00Z,666613,447.261113
446.2,447.4694,446.12,11745,447.03,2024-04-01T14:00:00Z,1012773,446.828069
446.82,446.9599,446.11,6995,446.22,2024-04-01T14:05:00Z,662541,446.557725
447.0,447.05,446.68,5226,446.8112,2024-04-01T14:10:00Z,379096,446.917921
445.5605,447.14,445.54,8855,447.0,2024-04-01T14:15:00Z,727452,446.267025
446.0629,446.11,445.35,9866,445.58,2024-04-01T14:20:00Z,836422,445.668417
445.8199,446.2499,445.77,5069,446.09,2024-04-01T14:25:00Z,492280,445.979824
445.72,446.0,445.33,5771,445.83,2024-04-01T14:30:00Z,452269,445.706549
444.74,445.7499,444.53,8346,445.72,2024-04-01T14:35:00Z,671440,445.191722
445.11,445.25,444.62,8529,444.73,2024-04-01T14:40:00Z,719175,444.964809
444.91,445.185,444.73,7953,445.11,2024-04-01T14:45:00Z,595574,444.952077
444.42,444.91,444.235,7042,444.9,2024-04-01T14:50:00Z,564581,444.496268
444.63,444.66,444.26,7807,444.42,2024-04-01T14:55:00Z,651276,444.54486
