c,h,l,n,o,t,v,vw
525.35,525.59,525.12,138,525.57,2024-04-01T08:00:00Z,7712,525.458246
525.29,525.33,525.27,37,525.28,2024-04-01T08:05:00Z,7147,525.301079
525.3,525.3,525.16,31,525.28,2024-04-01T08:10:00Z,3398,525.240357
525.28,525.29,525.23,16,525.23,2024-04-01T08:15:00Z,890,525.258428
525.4,525.4,525.33,8,525.33,2024-04-01T08:20:00Z,824,525.344931
525.4,525.4,525.4,9,525.4,2024-04-01T08:25:00Z,538,525.4
525.41,525.45,525.41,10,525.45,2024-04-01T08:30:00Z,938,525.443473
525.41,525.41,525.41,3,525.41,2024-04-01T08:35:00Z,200,525.41
525.38,525.38,525.38,8,525.38,2024-04-01T08:45:00Z,250,525.38
525.46,525.46,525.46,3,525.46,2024-04-01T08:50:00Z,210,525.46
525.5,525.54,525.49,8,525.49,2024-04-01T08:55:00Z,679,525.510339
525.54,525.54,525.54,8,525.54,2024-04-01T09:00:00Z,198,525.54
525.43,525.43,525.43,2,525.43,2024-04-01T09:10:00Z,459,525.43
525.32,525.33,525.32,3,525.33,2024-04-01T09:15:00Z,701,525.325714
525.33,525.33,525.33,3,525.33,2024-04-01T09:20:00Z,130,525.33
525.32,525.32,525.3,15,525.31,2024-04-01T09:25:00Z,607,525.3075
525.28,525.28,525.26,13,525.26,2024-04-01T09:30:00Z,1598,525.270243
525.25,525.26,525.25,5,525.26,2024-04-01T09:35:00Z,343,525.256667
525.25,525.25,525.25,4,525.25,2024-04-01T09:40:00Z,403,525.25
525.31,525.31,525.31,2,525.31,2024-04-01T09:50:00Z,206,525.31
525.4,525.49,525.4,15,525.41,2024-04-01T10:00:00Z,3500,525.427664
525.37,525.37,525.35,4,525.35,2024-04-01T10:05:00Z,503,525.354
525.35,525.35,525.35,11,525.35,2024-04-01T10:10:00Z,455,525.35
525.5,525.5,525.4,282,525.4,2024-04-01T10:15:00Z,50853,525.457515
525.51,525.51,525.46,6,525.46,2024-04-01T10:20:00Z,607,525.492569
525.51,525.52,525.49,14,525.5,2024-04-01T10:25:00Z,1210,525.503944
525.48,525.54,525.48,21,525.53,2024-04-01T10:30:00Z,3502,525.51255
525.5,525.55,525.5,7,525.55,2024-04-01T10:35:00Z,2003,525.50491
525.48,525.5,525.48,17,525.5,2024-04-01T10:40:00Z,2153,525.495907
525.46,525.48,525.46,23,525.48,2024-04-01T10:45:00Z,1349,525.470833
525.46,525.46,525.43,15,525.45,2024-04-01T10:50:00Z,1318,525.445139
