orderSide,subaccountId,price,quantity_in_$,ticker
sell,0x935b705b5943b0e1b859651d2ccf375bc96dfdd7000000000000000000000027,306.2,1478.6398,iMSTR/USDT PERP
buy,0x935b705b5943b0e1b859651d2ccf375bc96dfdd700000000000000000000003f,272.7,1383.9525,iMSTR/USDT PERP
sell,0x935b705b5943b0e1b859651d2ccf375bc96dfdd700000000000000000000002a,110.16,1363.23,iNVDA/USDT PERP
buy,0x935b705b5943b0e1b859651d2ccf375bc96dfdd7000000000000000000000042,102.65,373.13275,iNVDA/USDT PERP
sell,0x935b705b5943b0e1b859651d2ccf375bc96dfdd700000000000000000000002f,174.6,1296.405,iCOIN/USDT PERP
buy,0x935b705b5943b0e1b859651d2ccf375bc96dfdd7000000000000000000000045,162.87,372.9723,iCOIN/USDT PERP
sell,0x935b705b5943b0e1b859651d2ccf375bc96dfdd700000000000000000000002b,268.59,1196.56845,iTSLA/USDT PERP
sell,0x935b705b5943b0e1b859651d2ccf375bc96dfdd7000000000000000000000041,278.95,421.7724,iTSLA/USDT PERP
buy,0x935b705b5943b0e1b859651d2ccf375bc96dfdd700000000000000000000002d,41.99,1259.7,iHOOD/USDT PERP
sell,0x935b705b5943b0e1b859651d2ccf375bc96dfdd700000000000000000000002d,42.31,1269.3000000000002,iHOOD/USDT PERP
buy,0x935b705b5943b0e1b859651d2ccf375bc96dfdd700000000000000000000002c,312.43,1405.935,iMCD/USDT PERP
sell,0x935b705b5943b0e1b859651d2ccf375bc96dfdd700000000000000000000002c,316.11,1422.4950000000001,iMCD/USDT PERP
buy,0x935b705b5943b0e1b859651d2ccf375bc96dfdd700000000000000000000002e,156.42,1329.57,iGOOGL/USDT PERP
sell,0x935b705b5943b0e1b859651d2ccf375bc96dfdd700000000000000000000002e,157.54,1339.09,iGOOGL/USDT PERP
buy,0x935b705b5943b0e1b859651d2ccf375bc96dfdd700000000000000000000001b,559.09,1397.7250000000001,TRADFI/USDT PERP
sell,0x935b705b5943b0e1b859651d2ccf375bc96dfdd700000000000000000000001b,564.93,1412.3249999999998,TRADFI/USDT PERP
buy,0x935b705b5943b0e1b859651d2ccf375bc96dfdd7000000000000000000000016,470.99,1412.97,TTI/USDT PERP
sell,0x935b705b5943b0e1b859651d2ccf375bc96dfdd7000000000000000000000016,476.47,1429.41,TTI/USDT PERP
